Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-07-06,40.0305,28.0898,34.4444,27.8365
2000-07-07,38.0017,27.4373,33.3556,27.1711
2000-07-08,35.9290,28.4305,30.3560,26.8067
2000-07-09,39.3130,27.3894,32.7061,26.4526
2000-07-10,38.9298,26.7766,30.8663,26.2019
2000-07-11,36.0240,26.1189,31.7881,26.9188
2000-07-12,34.9693,25.5262,30.7454,26.5039
2000-07-13,37.8086,27.2015,31.3482,26.1729
2000-07-14,38.0259,28.7039,30.2953,26.4532
2000-07-15,39.4923,28.8776,31.6599,26.0848
2000-07-16,37.4184,27.4718,31.8747,26.1383
2000-07-17,36.4194,26.8211,30.8943,26.3527
2000-07-18,37.3271,26.1608,29.2853,26.0438
2000-07-19,35.8904,25.2283,30.6468,25.8755
2000-07-20,34.2953,25.5568,29.5137,26.1154
2000-07-21,33.1177,26.8149,29.9433,26.4099
2000-07-22,38.1432,26.1062,30.0554,25.6119
2000-07-23,33.9540,25.7051,29.6449,25.4373
2000-07-24,32.7379,24.7252,28.0919,25.8102
2000-07-25,32.8921,25.0520,28.9727,25.7705
2000-07-26,30.8595,24.7937,28.9201,25.8311
2000-07-27,35.7029,25.7375,30.5600,25.8654
2000-07-28,38.0543,25.8046,31.9098,25.9685
2000-07-29,38.7893,27.4033,32.4610,26.8601
2000-07-30,39.2405,25.7990,31.9951,26.5807
2000-07-31,37.2902,25.4029,33.1031,27.3074
2000-08-01,36.0233,26.3409,31.5591,26.8651
2000-08-02,35.8129,26.6836,31.4631,27.0076
2000-08-03,39.2462,27.2588,33.5440,27.6501
2000-08-04,40.5515,27.2597,34.3307,26.8006
2000-08-05,40.9700,28.5454,34.4967,26.8282
2000-08-06,41.5600,29.5424,33.3766,26.8436
2000-08-07,40.8523,29.2365,33.1850,27.1310
2000-08-08,38.0821,27.7780,31.9324,27.1035
2000-08-09,36.6687,25.5871,31.2242,26.3977
2000-08-10,35.4512,24.6919,30.8851,25.8973
2000-08-11,35.2139,25.9211,30.8211,26.8588
2000-08-12,36.2928,27.0663,30.3368,26.8325
2000-08-13,36.6913,27.0250,30.8961,26.7380
2000-08-14,36.5417,25.7343,32.3891,26.9398
2000-08-15,37.8569,26.4837,31.9663,27.1191
2000-08-16,37.6476,27.1134,32.8981,26.6565
2000-08-17,37.7740,27.3015,32.4649,25.8810
2000-08-18,37.0577,25.7720,32.3656,26.2915
2000-08-19,38.3218,26.4250,31.3811,26.7968
2000-08-20,36.8554,26.8206,31.6451,26.7190
2000-08-21,36.2546,27.4860,31.2188,26.7830
2000-08-22,36.8338,27.1776,32.4556,26.7048
2000-08-23,36.2883,27.5158,32.5114,26.8578
2000-08-24,37.4555,28.1367,32.4823,26.9389
2000-08-25,37.7809,28.4423,34.0833,27.1628
2000-08-26,37.6400,27.9504,32.4639,26.7507
2000-08-27,37.8990,26.7686,31.9895,26.6335
2000-08-28,37.0368,27.3842,32.0999,26.9451
2000-08-29,37.0614,27.5070,30.7397,26.6637
2000-08-30,36.2072,25.4805,30.7962,26.3429
2000-08-31,32.0141,25.4172,28.7076,25.1005
2000-09-01,37.0526,27.1275,30.9513,25.0133
2000-09-02,38.8102,26.5783,31.9254,26.7467
2000-09-03,37.4612,26.7031,32.6790,26.7695
2000-09-04,37.1255,28.2334,32.2657,26.9227
2000-09-05,39.6705,27.8777,31.6129,26.1781
2000-09-06,38.8123,26.9235,32.2082,24.9857
2000-09-07,36.4144,26.5688,29.4622,26.0385
2000-09-08,36.5186,27.2852,31.9990,25.5514
2000-09-09,37.5514,26.6852,31.3766,26.4299
2000-09-10,37.9417,26.9599,32.5114,25.8593
2000-09-11,39.4671,27.3915,32.9362,26.0862
2000-09-12,38.8231,27.1674,33.6791,26.7591
2000-09-13,38.1909,26.6976,31.6396,25.3172
2000-09-14,34.4594,25.5301,30.5649,25.7698
2000-09-15,35.8905,25.3496,31.3834,25.9305
2000-09-16,35.9297,25.5258,31.8150,26.7127
2000-09-17,37.0071,23.9233,32.0667,25.9463
2000-09-18,29.6329,23.1553,29.0197,23.8358
2000-09-19,28.3643,22.4471,27.6510,24.6889
2000-09-20,33.5366,22.5679,28.2630,25.2542
2000-09-21,33.8101,24.5620,28.0954,25.1398
2000-09-22,38.7291,26.3477,30.8027,24.6270
2000-09-23,37.8347,26.0635,30.2367,24.6369
2000-09-24,37.0670,25.7354,31.7102,24.8797
2000-09-25,38.5255,26.0041,32.6767,26.0246
2000-09-26,39.7766,25.6492,32.2605,24.9358
2000-09-27,38.8514,25.2898,33.3072,25.1812
2000-09-28,38.4394,24.1358,33.4045,25.7791
2000-09-29,36.8735,23.2959,33.0638,25.1021
2000-09-30,37.8249,22.9943,32.5863,25.1325
2000-10-01,36.1860,25.4792,31.1786,24.9640
2000-10-02,38.6621,25.7743,31.5500,25.9046
2000-10-03,39.3835,26.5130,31.7453,25.7825
2000-10-04,39.6325,25.3562,32.8419,24.6415
2000-10-05,39.0049,25.3164,32.3596,24.6261
2000-10-06,39.7457,26.5323,32.7436,25.7061
2000-10-07,38.6404,25.9169,32.5321,25.5395
2000-10-08,39.3907,26.1868,32.0242,25.5249
2000-10-09,39.3167,26.1729,32.4436,25.5750
2000-10-10,39.5881,26.3417,32.7912,25.3805
2000-10-11,39.8855,26.7832,32.7997,25.8629
2000-10-12,39.2842,27.2478,32.0364,25.5477
2000-10-13,37.8190,19.8175,32.8429,23.4603
2000-10-14,36.9234,19.5960,32.0263,23.1239
2000-10-15,37.4844,20.5247,32.2777,24.3739
2000-10-16,38.6013,22.8419,33.3684,25.7139
2000-10-17,36.3398,27.1433,30.3543,25.4641
2000-10-18,38.6254,26.3274,31.5132,25.2875
2000-10-19,39.8618,26.0869,32.1187,25.0909
2000-10-20,39.2191,25.5619,32.7189,25.2766
2000-10-21,38.9181,19.9702,33.9743,23.5254
2000-10-22,38.4495,19.9758,33.4225,23.5259
2000-10-23,38.5115,20.6595,33.0252,22.9691
2000-10-24,37.7445,20.9455,33.2375,23.4165
2000-10-25,36.6667,21.0462,32.9597,23.5327
2000-10-26,35.8335,20.5251,32.0281,23.3398
2000-10-27,29.7147,15.6764,25.8136,22.1990
2000-10-28,24.8699,15.4363,24.6691,19.0960
2000-10-29,27.7963,15.3121,24.2685,19.1775
2000-10-30,32.1321,18.6241,27.4961,20.2193
2000-10-31,33.4557,18.7480,28.7537,21.0876
2000-11-01,34.8123,19.6491,29.9097,20.7632
2000-11-02,37.2839,21.4664,30.5629,22.9223
2000-11-03,37.6133,22.4494,30.5574,22.8278
2000-11-04,35.7366,20.1085,30.5418,22.3730
2000-11-05,35.7012,19.8036,30.3007,22.1311
2000-11-06,35.6399,17.9881,30.4924,21.0627
2000-11-07,35.2452,17.2086,30.6302,20.0209
2000-11-08,34.5417,15.1846,29.8579,19.2879
2000-11-09,34.5049,14.4008,30.1344,18.5323
2000-11-10,34.8808,14.1204,30.8873,18.6710
2000-11-11,34.9114,14.0659,31.0550,18.8606
2000-11-12,34.8639,15.6255,30.5920,19.0767
2000-11-13,34.6144,14.1096,30.1196,18.8287
2000-11-14,34.3398,16.3089,30.2907,18.4343
2000-11-15,34.0549,15.3966,29.6011,18.2393
2000-11-16,32.5060,14.2065,29.0066,18.5170
2000-11-17,33.2763,13.7665,29.4149,17.9742
2000-11-18,33.9801,13.5587,29.4532,17.8404
2000-11-19,34.2424,13.3480,29.9082,18.6266
2000-11-20,34.2844,14.6256,29.9709,19.4575
2000-11-21,35.2120,16.5216,30.0296,19.6303
2000-11-22,35.0349,14.8438,29.8296,18.8769
